"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"107",48,16,1,2,1,0,1,95000
"2172",21,19,1,2,1,0,1,9000
"3976",20,19,2,2,1,0,1,500
"508",33,20,1,2,1,0,1,100010
"321",64,21,2,2,1,0,1,84500
"385",44,19,2,2,1,0,1,31600
"2345",52,19,1,2,1,0,1,121000
"4436",22,19,2,2,1,0,1,9500
"2219",78,19,2,1,1,0,1,40000
"591",68,22,2,2,1,0,1,73000
"3151",55,19,2,1,1,0,1,46000
"1172",28,14,1,1,1,0,3,11000
"3368",53,23,2,2,1,0,1,80000
"1150",23,19,2,2,1,0,1,30000
"1030",66,16,1,2,1,0,1,100500
"430",65,17,2,2,1,0,1,9300
"1777",71,16,2,1,1,0,9,18300
"4096",33,21,2,2,1,0,1,51000
"18",39,20,2,2,1,0,1,50000
"3760",32,14,2,2,2,0,1,29100
"2550",33,16,1,2,1,0,1,15000
"3538",66,21,2,1,1,0,1,20900
"347",63,19,2,2,1,0,3,60540
"581",26,16,1,2,1,0,9,130000
"2732",47,21,2,2,1,0,1,52000
"1639",26,19,1,2,1,0,1,5000
"2139",27,23,1,2,1,0,1,36200
"4496",34,22,2,2,1,0,1,55000
"1447",30,20,1,2,1,0,1,62000
"7",74,16,2,2,1,0,1,10400
"3452",23,18,2,1,1,0,1,8000
"2514",64,1,1,2,1,0,1,90000
"1391",58,19,1,2,2,0,1,25000
"2806",28,22,2,2,1,0,1,21170
"1973",52,21,2,1,1,0,3,10600
"4142",46,21,2,2,1,0,6,87000
"2750",68,15,2,2,1,0,1,22700
"2343",28,21,2,2,1,0,1,61220
"3003",24,19,2,2,1,0,1,0
"119",56,21,2,1,1,0,1,36000
"1638",54,19,1,2,1,0,1,95000
"483",83,19,2,2,1,0,1,19200
"2508",33,19,1,2,1,0,1,48000
"3780",43,24,1,2,1,0,6,48000
"1123",60,16,1,2,2,0,1,25510
"2589",60,21,2,2,1,0,1,125000
"1366",55,19,1,2,1,0,1,64000
"670",59,20,2,2,1,0,3,1300
"1273",41,22,2,2,1,0,1,40000
"3928",79,16,2,1,1,0,1,23700
"1036",25,19,2,2,1,0,1,6000
"256",64,16,1,1,1,0,1,13560
"2724",56,22,2,2,1,0,1,207000
"3478",28,16,1,2,1,0,1,25000
"2686",35,20,1,2,2,0,1,30000
"638",49,24,2,2,1,0,1,104390
"969",62,16,2,2,2,0,1,37200
"2943",57,21,1,2,1,0,1,20400
"4363",67,22,2,2,1,0,1,99100
"4326",66,18,1,2,1,0,1,10520
"3054",53,22,2,2,1,0,1,74500
"2652",28,19,1,2,2,0,1,2300
"2421",59,19,1,1,1,0,1,126520
"624",75,16,1,2,1,0,9,25800
"334",78,20,2,2,1,0,1,54400
"4016",61,19,1,2,1,0,1,135600
"2651",54,18,2,1,1,0,1,6800
"1978",58,23,1,2,1,0,1,72420
"2186",68,21,2,2,1,0,1,66870
"2224",30,21,2,2,1,0,1,12600
"4389",58,19,2,2,1,0,8,63000
"1259",48,22,2,2,1,0,1,16600
"3566",76,19,2,1,1,0,1,34900
"3345",17,14,2,2,1,1,1,0
"2859",74,18,2,2,1,0,1,19200
"2136",17,15,2,2,1,1,1,3000
"1750",75,17,2,1,1,0,1,7400
"1442",38,21,2,2,1,0,1,-50
"1085",17,13,1,2,1,1,1,0
