"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"632",58,19,1,2,1,0,1,48000
"633",33,22,1,2,1,0,1,55000
"634",37,21,2,2,1,0,1,47000
"635",59,21,2,2,1,0,1,16800
"636",73,16,2,2,1,0,1,15500
"637",37,21,1,2,1,0,1,56000
"638",49,24,2,2,1,0,1,104390
"639",49,22,1,2,1,0,1,56130
"640",35,19,1,2,1,0,1,8000
"641",32,19,2,2,1,0,1,20000
"642",16,12,2,2,1,0,1,4500
"643",29,16,1,2,1,0,1,80000
"644",21,20,2,2,1,0,1,40000
"645",55,21,2,1,1,0,1,8000
"646",65,22,1,1,1,0,1,65000
"647",23,16,2,2,2,0,2,0
"648",24,19,1,1,1,0,9,15400
"649",36,16,1,2,1,0,1,50000
"650",44,16,2,2,1,0,1,40000
"651",44,19,1,2,1,0,1,65000
"652",42,18,2,2,1,0,1,17000
"653",42,20,1,2,1,0,1,79000
"654",41,20,2,2,1,0,8,79000
"655",70,16,1,2,1,0,1,32500
"656",69,16,2,2,1,0,1,10300
"657",21,16,1,2,1,0,1,19000
"658",63,18,2,2,1,0,1,17900
"659",64,9,1,1,1,0,1,47300
"660",26,21,2,2,1,0,1,21020
"661",23,21,2,2,1,0,6,21000
"662",58,19,2,2,1,0,1,0
"663",60,20,1,2,1,0,1,78000
"664",93,21,1,1,1,0,1,22900
"665",23,21,2,2,1,0,1,30000
"666",30,21,1,2,1,0,1,20000
"667",59,21,1,2,1,0,1,65000
"668",58,20,2,2,1,0,1,7200
"669",35,19,1,2,1,0,2,108000
"670",59,20,2,2,1,0,3,1300
"671",54,19,1,2,1,0,3,81000
"672",76,21,1,2,1,0,1,76600
"673",68,16,2,2,1,0,1,21900
"674",47,18,2,2,1,0,1,8300
"675",55,15,1,1,1,0,1,48000
"676",43,16,1,2,1,0,1,60000
"677",43,23,2,1,1,0,1,53000
"678",27,19,1,1,1,0,1,6000
"679",38,20,1,2,1,0,1,120000
"680",35,21,1,2,1,0,1,40000
"681",31,21,2,2,1,0,1,44000
"682",36,19,1,1,1,0,1,66000
"683",28,19,2,2,1,0,1,30000
"684",69,19,2,2,1,0,1,13020
"685",66,19,1,2,1,0,1,53000
"686",66,19,2,2,1,0,1,8800
"687",28,22,1,2,1,0,1,25500
"688",25,21,2,2,1,0,1,9000
"689",83,19,1,2,1,0,1,16100
"690",80,21,2,2,1,0,1,21300
"691",30,21,1,2,1,0,1,36200
"692",28,22,2,2,1,0,1,9700
"693",30,16,1,2,1,0,1,70000
"694",27,12,2,2,1,0,1,50700
