"","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"337","1","1","22","2","1","0","1",79999.9999999999
"338","1","1","14","2","2","0","1",1000
"339","1","1","16","2","1","0","1",45000.0000000001
"340","1","2","14","2","1","0","1",5000
"341","6","2","19","1","1","0","1",35600
"342","3","1","19","2","2","0","1",89800
"343","1","2","17","1","2","0","1",7000
"344","1","1","16","2","1","0","1",79999.9999999999
"345","1","1","17","2","1","0","1",69999.9999999998
"346","6","2","13","1","1","0","1",19900
"347","1","1","18","2","1","0","1",62000.0000000001
"348","1","2","20","2","1","0","6",30000.0000000001
"349","1","2","19","2","1","0","1",31599.9999999999
"350","1","1","16","2","1","0","1",62000.0000000001
"351","1","1","14","2","2","0","1",17100
"352","1","2","16","2","1","0","1",24100
"353","1","1","21","2","1","0","1",90000.0000000001
"354","1","1","16","2","1","0","1",50000
"355","1","2","21","2","1","0","1",20000
"356","1","1","18","2","1","0","1",106000
"357","1","2","21","2","1","0","1",111000
"358","1","2","16","2","1","0","1",55999.9999999999
"359","1","1","17","2","1","0","1",36000
"360","6","2","20","1","1","0","1",25100
"361","1","2","19","2","1","0","1",30900
"362","1","1","16","2","1","0","1",65000.0000000001
"363","6","1","24","1","1","0","1",110300
"364","6","2","20","2","1","0","6",5199.99999999999
"365","1","2","19","2","1","0","1",400
"366","6","1","19","2","2","0","1",95999.9999999998
"367","1","1","20","2","1","0","1",36999.9999999999
"368","1","1","19","2","1","0","1",34999.9999999999
"369","1","1","15","1","1","0","1",150000
"370","1","2","14","2","1","1","1",5000
"371","1","1","17","1","1","0","1",82000.0000000001
"372","1","2","17","2","1","0","1",11000
"373","3","1","16","2","1","0","1",899.999999999999
"374","1","2","20","2","1","0","1",52120.0000000001
"375","1","2","20","2","1","0","1",59999.9999999999
"376","1","1","22","2","1","0","1",90999.9999999998
"377","6","1","19","1","1","0","1",60250
"378","6","2","21","2","1","0","1",61419.9999999998
"379","1","1","16","2","1","0","1",57999.9999999999
"380","1","2","18","2","1","0","1",62000.0000000001
"381","1","2","19","2","1","0","1",48000.0000000001
"382","3","2","19","2","1","0","1",4800.00000000001
"383","1","1","16","2","1","0","1",79999.9999999999
"384","1","2","16","2","1","0","1",9999.99999999999
"385","1","1","22","2","1","0","1",50000
"386","1","2","22","2","1","0","1",49200.0000000001
"387","1","1","21","2","1","0","1",16310
"388","6","2","17","2","1","0","1",9299.99999999999
"389","6","1","21","2","1","0","1",19500
"390","1","2","16","1","1","0","1",54200.0000000001
"391","6","1","19","1","1","0","1",11100
"392","6","2","19","1","1","0","1",7500.00000000001
"393","1","1","16","2","1","0","1",95599.9999999998
"394","1","1","21","2","1","0","1",52999.9999999999
"395","1","2","21","2","1","0","1",25000
"396","1","1","19","2","1","0","1",42000
"397","1","2","16","2","1","0","1",12000
"398","1","2","20","1","1","0","1",42000
"399","1","1","20","1","1","0","1",146000
"400","6","2","22","2","1","0","1",23199.9999999999
"401","1","2","20","2","1","0","1",26100
"402","3","1","17","2","1","0","1",21000
"403","6","2","21","1","1","0","1",17600
"404","1","1","21","2","1","0","1",36000
"405","1","2","19","2","1","0","1",39000
"406","1","1","21","2","1","0","1",95000.0000000002
"407","1","2","22","2","1","0","1",69999.9999999998
"408","1","1","22","1","1","0","1",154000
"409","1","2","18","2","1","0","1",60999.9999999999
"410","1","1","21","2","1","0","1",50000
"411","1","1","21","2","1","0","1",234400
"412","1","2","21","2","1","0","1",83600.0000000002
"413","6","1","23","1","1","0","1",47200.0000000001
"414","6","2","21","2","1","0","1",34200
"415","6","2","21","2","1","0","1",7799.99999999998
"416","1","2","18","2","2","0","1",15000
"417","1","1","16","2","2","0","1",12000
"418","1","2","12","2","2","1","1",300
"419","1","2","21","2","1","0","1",50000
"420","1","1","16","2","1","0","1",58999.9999999998
"421","1","1","19","2","1","0","1",7000
"422","1","1","17","2","1","0","1",42000
"423","1","2","21","2","1","0","1",34999.9999999999
"424","1","1","16","2","2","0","1",18200
"425","1","1","19","2","1","0","1",40800
"426","1","1","19","1","1","0","1",33300
"427","1","2","20","2","1","0","1",13800
"428","1","1","21","2","1","0","1",109000
"429","6","1","21","1","1","0","1",18800
"430","1","1","17","2","2","0","1",44200
"431","1","1","16","2","2","0","1",79999.9999999999
"432","1","2","22","2","1","0","1",41000.0000000001
"433","6","2","16","2","1","0","1",50000
"434","6","2","13","2","1","0","1",19700
"435","1","2","23","2","1","0","1",14400
"436","6","1","23","2","1","0","1",111000
"437","6","1","15","2","1","0","1",12800
"438","1","2","16","2","1","0","1",9000
"439","6","2","19","2","1","0","1",19200
"440","1","1","16","2","2","0","1",35299.9999999999
"441","6","2","21","1","1","0","1",12900
"442","1","1","20","1","1","0","1",60100.0000000001
"443","1","2","20","2","1","0","1",72000
"444","1","1","19","2","1","0","1",55000.0000000001
"445","3","1","19","2","2","0","1",9000
"446","3","2","22","1","1","0","1",32600
"447","1","2","20","1","1","0","1",9000
"448","1","1","18","2","1","0","1",46000.0000000001
"449","1","1","19","2","1","0","1",35500.0000000001
"450","1","1","17","2","1","0","1",69999.9999999998
"451","1","1","17","2","2","0","1",2200
"452","1","2","17","1","1","0","1",1300
"453","1","1","18","2","1","0","1",34730
"454","1","2","16","2","1","0","1",34999.9999999999
"455","1","2","16","2","1","0","1",25000
"456","1","1","16","2","1","0","1",37999.9999999999
"457","6","1","19","1","1","0","1",1300
"458","6","2","19","2","1","0","1",9600
"459","1","2","16","2","2","0","8",11000
"460","1","1","16","2","2","0","8",20000
"461","1","2","16","2","1","0","1",33010
"462","1","1","20","2","1","0","1",100010
"463","1","1","19","2","1","0","1",111900
"464","6","2","21","2","1","0","1",600
"465","1","1","16","1","1","0","1",77999.9999999999
"466","1","2","16","2","1","0","1",67999.9999999998
"467","1","1","1","2","1","0","1",15000
"468","1","2","13","2","2","0","1",5000
"469","1","1","19","2","2","0","1",5000
"470","1","1","19","2","1","0","1",42040
"471","1","2","19","2","1","0","1",66000
"472","1","1","24","2","1","0","1",20000
"473","1","1","19","1","1","0","6",158000
"474","1","2","17","2","1","0","6",36000
"475","1","1","21","2","1","0","6",92379.9999999998
"476","1","1","18","2","1","0","6",12770
"477","1","2","22","2","1","0","1",13000
"478","1","1","20","2","1","0","1",92000
"479","6","1","21","2","1","0","1",25700
"480","6","2","21","2","1","0","1",14900
"481","6","2","20","2","1","0","1",24310
"482","1","1","21","2","1","0","1",88110.0000000001
"483","1","2","19","1","1","0","1",11400
"484","1","1","16","1","1","0","1",95999.9999999998
"485","3","2","18","2","1","0","1",4000
"486","1","1","16","2","1","0","1",73000.0000000001
"487","6","2","16","2","1","0","1",10100
"488","6","1","16","1","1","0","1",28200.0000000001
"489","1","2","20","2","1","0","1",65000.0000000001
"490","1","1","20","2","1","0","1",75000
"491","1","1","16","2","1","0","1",30000.0000000001
"492","1","1","18","2","1","0","1",69999.9999999998
"493","4","1","22","2","1","0","1",81000.0000000001
"494","1","1","18","2","1","0","1",44000.0000000001
"495","1","2","16","2","2","0","1",1200
"496","1","2","22","2","1","0","1",90300.0000000001
"497","1","1","21","2","1","0","1",118100
"498","6","2","14","2","1","0","1",6000
"499","6","2","17","2","1","0","1",7799.99999999998
"500","6","1","17","2","1","0","1",16000
"501","6","2","18","1","1","0","1",25800
"502","1","2","18","2","1","0","1",15000
"503","1","1","16","2","1","0","1",39999.9999999999
"504","1","1","17","2","1","0","8",56110
"505","1","1","19","2","1","0","8",18500
"506","1","2","18","2","1","0","1",213000
"507","1","1","18","2","1","0","1",99999.9999999998
"508","1","1","21","2","1","0","1",94900
"509","6","2","19","2","1","0","1",27900
"510","1","2","22","2","1","0","1",106000
"511","6","1","19","2","1","0","1",7000
"512","6","2","20","1","1","0","1",6000
"513","1","2","19","2","1","0","1",24000
"514","1","1","14","2","1","0","1",25999.9999999999
"515","1","1","16","2","1","0","1",50000
"516","1","2","16","2","1","0","1",20000
"517","1","2","21","2","1","0","1",34999.9999999999
"518","1","1","18","2","1","0","1",46199.9999999999
"519","6","1","22","1","1","0","1",1010
"520","1","2","19","2","1","0","1",50000
"521","1","2","18","1","1","0","1",31999.9999999999
"522","1","1","16","2","1","0","9",130000
"523","6","1","20","2","1","0","1",34550
"524","6","2","16","2","1","0","1",9000
"525","6","2","16","2","2","0","1",8510.00000000002
"526","1","2","19","2","1","0","1",20600
"527","6","2","21","2","1","0","1",21399.9999999999
"528","6","1","16","1","1","0","1",19500
"529","6","1","20","2","1","0","1",29200.0000000001
"530","6","2","22","2","1","0","1",73000.0000000001
"531","6","2","12","1","1","0","1",22800
"532","1","2","20","2","2","0","3",35959.9999999999
"533","3","1","20","2","2","0","3",15000
"534","6","2","19","2","2","0","3",10400
"535","1","2","20","2","1","0","1",36399.9999999999
"536","1","2","19","2","1","0","1",71220.0000000001
"537","1","1","23","2","1","0","1",150000
"538","1","2","21","2","1","0","1",33300
"539","1","1","19","2","1","0","1",58609.9999999999
"540","1","2","20","2","1","0","1",34500
"541","6","1","23","2","1","0","6",79100.0000000002
"542","1","1","20","2","1","0","1",25000
"543","1","1","19","2","1","0","1",31999.9999999999
"544","1","2","21","2","1","0","1",50000
"545","1","1","21","2","1","0","1",55999.9999999999
"546","1","2","19","1","1","0","9",47500.0000000001
"547","1","2","21","2","1","0","1",9600
"548","1","1","21","1","1","0","1",59999.9999999999
"549","1","2","19","2","2","0","1",16000
"550","1","1","17","2","2","0","1",14000
"551","1","1","21","2","1","0","1",32800
"552","1","2","21","2","1","0","1",31000
"553","1","2","14","2","1","0","1",1000
"554","1","2","16","2","2","0","8",2500
"555","3","1","16","2","2","0","8",41100
"556","1","1","6","2","1","0","8",11000
"557","1","2","19","2","1","0","1",20000
"558","1","2","19","2","1","0","1",38300
"559","6","1","16","2","1","0","9",25800
"560","6","2","20","2","2","0","9",10600
"561","6","2","18","2","1","0","1",12700
"562","1","1","20","2","1","0","1",25500
"563","1","2","17","2","2","0","1",25000
"564","3","1","21","1","1","0","1",35299.9999999999
"565","1","2","19","2","1","0","1",70200.0000000001
"566","1","1","19","2","1","0","1",48000.0000000001
"567","1","1","22","2","1","0","1",55000.0000000001
"568","1","2","21","2","1","0","1",47000.0000000001
"569","1","2","21","2","1","0","1",16800
"570","6","2","16","2","1","0","1",15500
"571","1","1","21","2","1","0","1",55999.9999999999
"572","1","2","24","2","1","0","1",104390
"573","1","1","22","2","1","0","1",56129.9999999999
"574","1","1","19","2","1","0","1",8000
"575","1","2","19","2","1","0","1",20000
"576","6","2","12","2","1","0","1",4500.00000000001
"577","1","1","16","2","1","0","1",79999.9999999999
"578","1","2","20","2","1","0","1",39999.9999999999
"579","1","2","21","1","1","0","1",8000
"580","1","1","22","1","1","0","1",65000.0000000001
"581","6","1","19","1","1","0","9",15400
"582","1","1","16","2","1","0","1",50000
"583","1","2","16","2","1","0","1",39999.9999999999
