"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"18",1,1,2,22,2,1,0,1,50000
"4465",1,6,1,21,2,1,0,1,74000
"3004",1,1,1,21,2,2,0,1,49500
"5370",1,3,1,16,2,2,0,1,2000
"1430",3,1,1,21,2,1,0,1,33300
"4037",1,6,2,21,2,1,0,1,12000
"3842",1,1,2,21,2,1,0,1,139220
"1177",1,1,2,21,2,1,0,1,45000
"1172",1,6,1,21,1,1,0,1,94290
"3658",1,1,2,15,2,2,0,1,60000
"440",1,1,1,24,2,1,0,1,121400
"2074",1,2,1,13,2,2,0,3,2700
"2176",1,6,2,18,1,1,0,1,27600
"558",1,1,2,22,2,1,0,1,70000
"2983",1,1,1,22,2,1,0,1,62000
"3444",3,1,1,17,2,1,0,1,40000
"2256",1,6,1,16,2,1,0,1,6000
"3068",1,1,1,14,2,2,0,1,30000
"290",1,3,1,16,2,1,0,1,8800
"4113",1,4,1,19,2,1,0,1,25000
"1990",1,1,1,18,1,1,0,1,75000
"2297",3,1,2,21,2,1,0,1,17000
"4058",1,6,1,16,2,1,0,1,33400
"998",3,6,1,18,1,2,0,9,70
"4631",3,1,2,16,2,1,0,1,37500
"5657",1,1,1,22,2,2,0,9,20000
"399",1,1,1,16,2,1,0,1,45000
"3716",1,1,2,21,2,1,0,1,8200
"4019",1,1,1,16,2,1,0,1,50000
"5688",1,1,2,13,2,1,0,1,7700
"5448",1,6,1,16,1,1,0,1,14400
"3071",3,1,2,18,1,1,0,1,28000
"5638",1,6,1,15,2,1,0,1,56000
"4805",1,6,2,17,1,1,0,1,10050
"823",1,1,2,18,2,1,0,1,17900
"2736",3,1,2,16,2,1,0,1,30000
"5334",3,1,1,21,2,1,0,1,85000
"4654",1,6,1,21,1,1,0,1,101100
"4979",3,1,2,16,2,1,0,1,50000
"1207",1,1,1,19,2,1,0,1,82700
"175",1,1,2,19,2,2,0,1,10500
"5300",1,1,1,16,2,1,0,1,28000
"2719",1,6,2,20,2,1,0,1,660
"645",1,1,2,19,2,1,0,1,66000
"4648",3,1,1,19,2,1,0,1,63000
"4699",1,1,2,19,2,2,0,1,24000
"1877",1,6,2,16,1,1,0,1,25720
"1738",1,1,1,20,2,1,0,1,85000
"2087",1,1,2,20,2,1,0,1,60000
"3635",1,6,1,18,2,1,0,3,2000
"1238",1,1,2,22,2,1,0,1,61000
"4407",1,1,2,21,2,1,0,1,40000
"5048",1,1,1,19,2,1,0,1,113000
"2473",1,6,1,21,1,1,0,1,11000
"1",3,1,1,18,2,1,0,1,5000
"3328",1,6,2,19,2,1,0,1,12400
"5003",3,6,2,16,1,1,0,1,8000
"2702",1,1,2,20,2,1,0,1,32000
"909",1,6,2,16,2,1,0,1,24700
"2115",1,6,2,16,2,1,0,1,2200
"3518",1,1,1,22,2,1,0,1,53000
"5600",2,6,1,16,1,1,0,1,14400
"3829",1,1,1,19,2,1,0,1,63000
"4251",1,6,1,16,2,1,0,1,12600
"5163",1,1,2,17,1,1,0,1,20000
"5255",1,6,1,17,2,1,0,1,24700
"5642",1,6,2,16,2,1,0,1,14900
"2944",1,6,1,16,2,1,0,1,26400
"3913",3,3,2,16,2,1,0,1,12000
"3212",1,1,1,16,2,2,0,1,22510
"5055",1,2,1,19,2,1,0,1,58000
"3767",1,6,1,12,2,1,0,1,16000
"1155",1,1,1,21,2,1,0,2,100000
"4399",1,6,2,16,1,2,0,1,6000
"308",1,1,1,16,1,1,0,1,106000
"3352",1,1,1,21,2,1,0,1,48100
"1151",3,1,1,19,2,1,0,1,40000
"3931",3,1,1,24,2,1,0,1,125000
"4807",1,6,1,19,2,1,0,1,84000
"239",1,6,1,21,2,1,0,1,36300
"3986",3,1,1,18,2,1,0,9,20800
"634",1,6,2,21,2,1,0,1,600
"9",1,6,1,16,2,1,0,1,44920
"5708",1,1,2,22,2,1,0,1,212300
"1749",1,6,1,13,1,1,0,1,20200
"5390",1,6,2,21,2,1,0,1,12000
"1628",1,6,1,22,1,1,0,1,119030
"1181",1,6,1,6,1,1,0,1,10900
"4218",1,6,1,22,1,1,0,1,43300
"1050",1,1,1,17,2,1,0,1,18000
"1164",1,6,1,16,1,1,0,1,10000
"2144",1,2,2,19,2,1,0,1,14400
"1057",1,1,1,19,2,1,0,1,55000
"5663",3,1,1,14,2,1,1,1,290
"5198",1,6,2,22,1,1,0,1,39000
"3695",1,6,2,20,1,1,0,1,12200
"4380",1,1,1,21,2,1,0,1,32000
"1608",3,6,2,21,2,1,0,1,44300
"359",1,6,2,22,1,1,0,1,13200
"2645",1,1,1,20,2,1,0,1,72000
"980",1,6,1,13,1,1,0,1,14900
"2206",1,1,2,17,2,2,0,1,1000
"539",1,6,2,19,1,1,0,1,7500
"5171",3,1,1,21,2,1,0,1,40550
"117",1,1,1,23,2,1,0,1,207000
"3259",1,1,1,18,2,1,0,9,100000
"5372",1,1,1,18,2,2,0,1,10000
"5709",1,1,2,16,2,1,0,1,29600
"4989",1,1,2,23,2,1,0,1,27800
"5684",1,1,2,18,2,1,0,1,35000
"2836",1,1,2,21,2,1,0,9,79600
"2529",3,3,1,21,1,1,0,1,12000
"4924",1,1,1,20,2,1,0,1,100000
"4557",1,4,1,20,1,1,0,1,99900
"4277",1,6,1,14,2,1,1,1,4000
